iter	Passed	Remaining
416	2671	3734
417	2677	3727
418	2683	3720
419	2689	3713
420	2694	3706
421	2701	3699
422	2707	3692
423	2713	3685
424	2719	3679
425	2725	3672
426	2731	3666
427	2738	3659
428	2744	3653
429	2751	3646
430	2757	3639
431	2762	3632
432	2769	3626
433	2774	3618
434	2781	3612
435	2787	3605
436	2793	3598
437	2799	3591
438	2805	3585
439	2811	3578
440	2817	3571
441	2823	3564
442	2828	3556
443	2835	3550
444	2841	3543
445	2847	3537
446	2853	3530
447	2859	3523
448	2865	3516
449	2871	3509
450	2877	3503
451	2883	3496
452	2889	3489
453	2895	3482
454	2901	3475
455	2907	3468
456	2913	3461
457	2919	3454
458	2925	3448
459	2931	3441
460	2937	3434
461	2943	3427
462	2949	3420
463	2955	3413
464	2961	3406
465	2967	3400
466	2973	3394
467	2979	3387
468	2986	3381
469	2992	3374
470	2999	3368
471	3005	3362
472	3011	3355
473	3018	3349
474	3024	3342
475	3030	3336
476	3036	3329
477	3042	3322
478	3048	3316
479	3054	3309
480	3060	3302
481	3066	3295
482	3072	3289
483	3078	3282
484	3085	3276
485	3091	3269
486	3097	3262
487	3103	3255
488	3108	3248
489	3114	3241
490	3120	3235
491	3127	3228
492	3132	3221
493	3139	3215
494	3145	3209
495	3152	3203
496	3158	3196
497	3164	3190
498	3170	3183
499	3177	3177
500	3183	3170
501	3189	3164
502	3195	3157
503	3201	3150
504	3207	3143
505	3213	3137
506	3219	3131
507	3225	3124
508	3232	3118
509	3238	3111
510	3244	3105
511	3250	3098
512	3256	3091
513	3262	3085
514	3268	3078
515	3274	3071
516	3280	3064
517	3286	3058
518	3293	3051
519	3299	3045
520	3304	3038
521	3310	3031
522	3316	3025
523	3323	3018
524	3329	3012
525	3335	3005
526	3341	2998
527	3347	2992
528	3353	2986
529	3360	2979
530	3366	2973
531	3372	2966
532	3377	2959
533	3383	2952
534	3390	2946
535	3396	2939
536	3402	2933
537	3408	2927
538	3415	2921
539	3421	2914
540	3427	2908
541	3434	2901
542	3440	2895
543	3446	2889
544	3452	2882
545	3459	2876
546	3465	2869
547	3471	2863
548	3477	2856
549	3483	2850
550	3489	2843
551	3495	2836
552	3501	2830
553	3507	2823
554	3513	2816
555	3519	2810
556	3524	2803
557	3530	2796
558	3536	2790
559	3542	2783
560	3547	2776
561	3553	2769
562	3559	2762
563	3564	2755
564	3570	2749
565	3576	2742
566	3581	2735
567	3587	2728
568	3593	2721
569	3598	2714
570	3604	2708
571	3610	2701
572	3616	2694
573	3622	2688
574	3628	2681
575	3633	2674
576	3639	2668
577	3645	2661
578	3650	2654
579	3656	2647
580	3662	2641
581	3667	2634
582	3673	2627
583	3679	2621
584	3685	2614
585	3691	2607
586	3697	2601
587	3703	2594
588	3709	2588
589	3715	2582
590	3721	2575
591	3727	2569
592	3733	2562
593	3739	2555
594	3746	2549
595	3752	2543
596	3758	2537
597	3764	2530
598	3770	2523
599	3775	2517
600	3781	2510
601	3787	2504
602	3793	2497
603	3799	2490
604	3805	2484
605	3811	2478
606	3817	2471
607	3823	2465
608	3829	2458
609	3835	2452
610	3841	2445
611	3847	2439
612	3853	2432
613	3859	2426
614	3865	2420
615	3871	2413
616	3877	2407
617	3883	2400
618	3889	2394
619	3895	2387
620	3901	2381
621	3907	2374
622	3913	2368
623	3919	2361
624	3925	2355
625	3931	2349
626	3938	2342
627	3944	2336
628	3950	2330
629	3956	2323
630	3963	2317
631	3969	2311
632	3975	2305
633	3982	2298
634	3987	2292
635	3994	2285
636	3999	2279
637	4006	2273
638	4012	2266
639	4018	2260
640	4024	2253
641	4030	2247
642	4036	2240
643	4042	2234
644	4048	2228
645	4054	2221
646	4060	2215
647	4066	2209
648	4072	2202
649	4078	2195
650	4083	2189
651	4089	2182
652	4095	2176
653	4101	2169
654	4107	2163
655	4113	2156
656	4119	2150
657	4124	2143
658	4130	2137
659	4136	2131
660	4143	2124
661	4149	2118
662	4155	2112
663	4162	2106
664	4168	2099
665	4174	2093
666	4180	2087
667	4186	2080
668	4193	2074
669	4199	2068
670	4205	2061
671	4211	2055
672	4217	2049
673	4223	2043
674	4230	2036
675	4236	2030
676	4242	2023
677	4248	2017
678	4254	2011
679	4260	2004
680	4266	1998
681	4272	1992
682	4278	1985
683	4284	1979
684	4291	1973
685	4297	1966
686	4303	1960
687	4309	1954
688	4315	1947
689	4321	1941
690	4328	1935
691	4334	1929
692	4340	1922
693	4346	1916
694	4352	1909
695	4358	1903
696	4364	1897
697	4370	1890
698	4376	1884
699	4383	1878
700	4389	1872
701	4395	1865
702	4401	1859
703	4408	1853
704	4414	1847
705	4420	1840
706	4426	1834
707	4433	1828
708	4439	1822
709	4445	1815
710	4451	1809
711	4458	1803
712	4464	1797
713	4470	1790
714	4476	1784
715	4482	1777
716	4488	1771
717	4494	1765
718	4500	1758
719	4506	1752
720	4512	1746
721	4517	1739
722	4523	1733
723	4529	1726
724	4535	1720
725	4540	1713
726	4546	1707
727	4552	1700
728	4557	1694
729	4563	1687
730	4569	1681
731	4575	1675
732	4581	1668
733	4587	1662
734	4593	1656
735	4599	1649
736	4604	1643
737	4610	1636
738	4616	1630
739	4622	1624
740	4628	1617
741	4633	1611
742	4639	1604
743	4644	1598
744	4650	1591
745	4656	1585
